Taxa,EDNA20_474001,EDNA20_474001_2,EDNA20_474005,EDNA20_474005_2,EDNA20_474014,EDNA20_474014_2,EDNA20_474043,EDNA20_474043_2,EDNA20_474079,EDNA20_474079_2,EDNA20_474086,EDNA20_474086_2,EDNA20_474091,EDNA20_474091_2,EDNA20_474099,EDNA20_474099_2,EDNA20_474103,EDNA20_474103_2,EDNA20_474107,EDNA20_474107_2,EDNA20_474143,EDNA20_474143_2,EDNA20_474148,EDNA20_474148_2,EDNA20_474160,EDNA20_474160_2,EDNA20_474175,EDNA20_474175_2,EDNA20_474179,EDNA20_474179_2,EDNA20_474198,EDNA20_474198_2,EDNA20_474207,EDNA20_474207_2,EDNA20_474217,EDNA20_474217_2,EDNA20_474237,EDNA20_474237_2,EDNA20_478618,EDNA20_478618_2,EDNA20_478631,EDNA20_478631_2,EDNA20_478635,EDNA20_478635_2,EDNA20_478639,EDNA20_478639_2,EDNA20_478655,EDNA20_478655_2,EDNA20_478672,EDNA20_478672_2,EDNA20_478677,EDNA20_478677_2,EDNA20_478685,EDNA20_478685_2,EDNA20_478689,EDNA20_478689_2,EDNA20_478706,EDNA20_478706_2,EDNA20_478732,EDNA20_478732_2,EDNA20_478745,EDNA20_478745_2,EDNA20_478748,EDNA20_478748_2,EDNA20_478752,EDNA20_478752_2,EDNA20_478847,EDNA20_478847_2,EDNA20_478851,EDNA20_478851_2,EDNA20_478867,EDNA20_478867_2,EDNA20_478887,EDNA20_478887_2,EDNA20_478895,EDNA20_478895_2,EDNA20_478907,EDNA20_478907_2,EDNA20_478929,EDNA20_478929_2,EDNA20_478933,EDNA20_478933_2,EDNA20_478941,EDNA20_478941_2,EDNA20_478949,EDNA20_478949_2,EDNA20_478954,EDNA20_478954_2,EDNA20_478959,EDNA20_478959_2,EDNA20_478964,EDNA20_478964_2,EDNA20_478969,EDNA20_478969_2,EDNA20_478973,EDNA20_478973_2,EDNA20_478977,EDNA20_478977_2,EDNA20_478981,EDNA20_478981_2,EDNA20_478985,EDNA20_478985_2,EDNA20_478989,EDNA20_478989_2,EDNA20_478993,EDNA20_478993_2,EDNA20_478997,EDNA20_478997_2
Alosa pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,1.25,0,0,0,0,0,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01744186,0,31.17816092,0,1.988636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amblyraja radiata,0,0,0,1.988636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.070175439,0,0.994318182,0,0,0,0,7310,0,2670,34.41011236,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina silus,0,0,0,2.982954545,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61111111,0,0,32743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,2.982954545,0,1.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthosema glaciale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4744,0,0,0,25323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74645,0,10282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centroscyllium fabricii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,11.06321839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citharichthys arctifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.944444444,0,0,31793,22.96875,0,0,0,0,0,1.029411765,0,2.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0
Clupea harengus,0,0,0,0,0,5,8886,261.4942529,4436,12.92613636,0,5,0,13.15028902,0,0,608,25.85227273,0,1.988636364,0,0,0,177.0467836,0,0,0,14.08045977,0,95.57692308,0,0,0,0,0,1.206896552,0,8,0,1.25,0,0,338,0,0,1.09375,0,0,0,0.972222222,0,19.55882353,4820,38.88888889,4342,133,131,0,0,0,0,4.242424242,237,57.16666667,94,287.65625,0,0,0,0,0,24.27745665,0,15.26162791,7,32.18390805,1149,1.988636364,94,40,0,32,0,2.916666667,0,4.915730337,0,3.034682081,20,0,0,0,0,30,0,0.951086957,1249,0,0,0,0,0,0,0,0,0,0,0
Enchelyopus cimbrius,0,0,0,0,0,0,0,0,0,0,0,3,22531,1.011560694,0,0,0,0,0,0,0,0,14422,1.023391813,860,0,0,2.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30973,0,14792,0,0,0,0,0,0,0,0,0,0,0,0,0,14193,0,0,0,0,0,0,0,11111,3.052325581,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyptocephalus cynoglossus,0,0,0,0,0,0,0,0,0,0,5056,8,0,3.034682081,0,0,12224,0,0,0,959,3.017241379,11061,7.16374269,0,16.90340909,20313,375.1436782,11413,49.80769231,3065,1.43442623,0,6.882022472,0,0,11152,55,0,6.25,1604,0,0,0,0,2.1875,0,0.972222222,0,0.972222222,0,1.029411765,0,5.833333333,0,0,0,0,0,0,0,2.121212121,2326,3.5,0,0,0,1.01744186,0,0,0,0,0,7.122093023,0,3.017241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Helicolenus dactylopterus,0,1,0,6.960227273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7976,535.6944444,0,0,2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3.888888889,0,0,9543,35.40462428,0,167.0454545,0,18.10344828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippoglossoides platessoides,0,0,0,0,0,0,0,14.08045977,0,10.9375,0,0,0,21.24277457,0,185.1744186,7637,118.3238636,8357,261.5056818,0,0,0,14.32748538,0,0.994318182,25508,87.5,8737,33.65384615,275325,30.12295082,5596,19.66292135,0,0,0,13,0,1.25,0,0,0,0,114,1.09375,0,0,0,0,0,2.058823529,0,0,0,0,5719,0,2068,0,0,9.545454545,853,0,0,5.46875,0,0,0,0,0,0,0,1.01744186,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippoglossus hippoglossus,3103,0,0,0,0,4,0,1.005747126,0,0,0,0,0,0,0,0,0,0.994318182,0,0,0,0,0,1.023391813,0,0,8143,1.005747126,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1.09375,0,0,0,0,60894,0,0,0,0,2,0,1.029411765,9173,1.09375,0,0,6634,3.5,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.912568306,0,0,0,0,0,0,0,0,0,0
Leptoclinus maculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.122093023,0,31.81818182,12366,5.965909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucoraja erinacea,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7320,1.09375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20178,0,0,0,0,0,0,1.01744186,0,0,0,0,0,0,0,0,0,15.90909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47861,0,13627,0,14603,12.78089888,18478,28,1028,3.017241379,17790,0,0,0.983146067
Lophius americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3651,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1.25,0,0,0,0,0,1.09375,0,0,0,1.944444444,0,1.029411765,0,1.944444444,0,0,0,2.058823529,0,0,0,0,0,0,0,0,0,3.052325581,0,0,0,0,0,0,0,2.011494253,0,0,0,2,0,0,0,0.972222222,0,0.983146067,0,0,0,0,0,0,0,0,12809,0.951086957,0,0,6079,0.983146067,0,1,0,0,0,0,17952,0.983146067
Lumpenus lampretaeformis,0,0,0,0,0,0,0,0,0,0,0,0,14952,3.034682081,0,0,35255,8.948863636,7454,10.9375,0,0,0,0,0,0,0,0,0,0,6476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanogrammus aeglefinus,0,31,0,3.977272727,3249,353,3965,179.0229885,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.384615385,0,0,0,0,3797,100.1724138,0,119,0,22.5,2371,36.94444444,0,49.41176471,13119,120.3125,0,14.58333333,0,6.805555556,142139,1.029411765,0,6.805555556,0,33,0,122.5,4078,219.84375,0,0,0,0,0,1.09375,0,11.19186047,0,170.0842697,0,14.16184971,0,0,0,84.48275862,0,8.948863636,0,8,0,16,0,9.722222222,0,16.71348315,0,18.20809249,0,1.988636364,0,13.07471264,0,393,118710,1385.733696,0,805.1912568,7311,576.1235955,0,9,0,8.045977011,0,265.4829545,2753,1405.898876
Merluccius albidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,88,0,453549,1.944444444,0,0.972222222,0,0,0,0,0,0,0,0,5914,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merluccius bilinearis,2867,0,1466,0,0,83,0,0,0,0,7147,56,0,2.023121387,0,0,0,0,0,0.994318182,34,3.017241379,12982,2.046783626,0,0,0,12.06896552,0,0,0,0,0,0.983146067,3,13.27586207,118601,90,0,138.75,19016,30.13888889,0,9.264705882,0,7.65625,134850,27.22222222,9485,18.47222222,159228,237.7941176,992,115.6944444,10002,5,5931,11.32352941,480829,5.46875,2369,13.78787879,2601,519.1666667,0,22.96875,8312,32.55813953,0,0.983146067,4953,184.1040462,0,293.0232558,0,84.48275862,25,221.7329545,0,265,5203,216,0,42.77777778,0,14.74719101,7878,431.9364162,0,24.85795455,0,2.011494253,0,522,23850,6.657608696,11725,3.825136612,1752,21.62921348,16939,80,53147,26.14942529,0,0,0,0
Myoxocephalus octodecemspinosus,0,0,0,0,8754,46,0,9.051724138,0,0,0,0,0,0,0,1.01744186,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.59550562,0,0,0,4,1,1.25,0,0,0,0,6989,15.3125,0,0,0,0,0,1.029411765,0,0.972222222,0,1,3103,0,0,0,2859,12.72727273,0,3.5,1935,0,0,1.01744186,0,0,0,0,0,0,0,0,0,92.47159091,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19091,0.951086957,0,2.868852459,5541,149.4382022,0,3,0,0,0,0,5357,0
Notoscopelus elongatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phycis chesteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,2.011494253,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pollachius virens,6753,22,0,7.954545455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.022988506,0,0,0,0,0,0,0,0,0,0,0,0,0,76.03448276,0,0,0,178.75,0,0,0,0,0,0,0,1.944444444,0,0,0,3.088235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27745665,0,0,0,0,0,0,0,18,0,4,0,6.805555556,0,0,0,17.19653179,0,9.943181818,3059,31.17816092,0,1,0,0.951086957,0,3.825136612,0,0,0,0,0,0,0,0,0,0
Pseudopleuronectes americanus,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5715,0,0,0,0,0,0,0,0,0,0,4,40924,2.058823529,0,0,1980,0,0,0,0,0,0,6.104651163,0,0,0,0,0,0,0,0,3695,64.63068182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.951086957,0,6.693989071,0,20.64606742,3043,1,0,0,0,0,0,0
Scomber scombrus,0,43,0,4.971590909,0,0,0,0,0,0,0,0,11756,0,0,0,0,0,0,0,0,0,49373,12.28070175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.888888889,0,0,0,0,0,0,2968,0,16784,3.088235294,0,0,0,0,0,0,0,0,5572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10272,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastes g.,0,0,0,0.994318182,0,0,2126,0,0,0,0,0,0,16.1849711,0,0,26605,2.982954545,0,0,35437,4030.028736,24573,228.2163743,607965,103.4090909,6300,33.18965517,25737,126.5384615,0,0,0,0,4578,2558.62069,0,0,0,108.75,0,0,0,0,0,18.59375,0,220.6944444,0,14.58333333,43277,18.52941176,0,0,9518,0,0,0,0,0,0,0,0,1.166666667,0,0,0,5.087209302,2851,0,0,74.85549133,0,0,0,265.5172414,0,0,0,5,6616,12,0,109.8611111,10864,19.66292135,0,1.011560694,0,0.994318182,0,37.21264368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squalus acanthias,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6840,0,1017,0,36734,147.6878613,0,0,0,0,0,0,35139,0,3752,6,445,15.55555556,5507,20.64606742,251,10.11560694,3943,1.988636364,534,45.25862069,227,0,0,4.755434783,0,6.693989071,11098,233.988764,0,1,1673,0,0,67.61363636,0,373.5955056
Tautogolabrus adspersus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5796,1.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48239,0,0,22.95081967,0,0.983146067,0,0,0,0,0,0,0,0
Triglops murrayi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33139535,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.882022472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.898876404,0,0,0,0,0,0,2321,0
Urophycis chuss,0,0,0,0,9803,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,7156,6.805555556,5389,0,15826,2.1875,2438,0,0,12.63888889,0,12.35294118,0,13.61111111,0,0,0,3.088235294,0,0,0,0,0,0,0,0,0,9.156976744,0,0,0,9.104046243,5,11.19186047,0,1.005747126,0,108.3806818,0,18,0,22,0,1.944444444,0,0,0,2.023121387,14,2.982954545,0,0,0,43,0,0,3775,0,0,0,8874,4,62279,5.028735632,0,0,0,0
Urophycis tenuis,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4.022988506,0,12.28070175,0,0,0,4.022988506,4467,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,5.833333333,0,0,52315,10.29411765,0,2.916666667,0,0,0,1.029411765,0,0,0,0,0,1.166666667,0,0,0,0,0,0,0,9.104046243,0,13.22674419,0,4.022988506,87,2.982954545,0,15,0,6,0,5.833333333,0,15.73033708,0,4.046242775,0,0,0,5.028735632,0,1,0,0,0,0,2278,0.983146067,2837,0,0,0,0,0,0,1.966292135
Zoarces americanus,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44888,3.804347826,5504,0,0,1.966292135,0,0,0,0,0,0,0,0