"","Taxa","eDNA_16S","verts_count"
"1","Alosa pseudoharengus",0,0
"2","Amblyraja radiata",0,0
"3","Argentina silus",0,0
"4","Benthosema glaciale",0,0
"5","Centroscyllium fabricii",0,0
"6","Citharichthys arctifrons",0,0
"7","Clupea harengus",0,0
"8","Enchelyopus cimbrius",0,0
"9","Glyptocephalus cynoglossus",0,0
"10","Helicolenus dactylopterus",0,1
"11","Hippoglossoides platessoides",0,0
"12","Hippoglossus hippoglossus",3103,0
"13","Leptoclinus maculatus",0,0
"14","Leucoraja erinacea",0,0
"15","Lophius americanus",0,0
"16","Lumpenus lampretaeformis",0,0
"17","Melanogrammus aeglefinus",0,31
"18","Merluccius albidus",0,0
"19","Merluccius bilinearis",2867,0
"20","Myoxocephalus octodecemspinosus",0,0
"21","Notoscopelus elongatus",0,0
"22","Phycis chesteri",0,0
"23","Pollachius virens",6753,22
"24","Pseudopleuronectes americanus",0,0
"25","Scomber scombrus",0,43
"26","Sebastes g.",0,0
"27","Squalus acanthias",0,19
"28","Tautogolabrus adspersus",0,0
"29","Triglops murrayi",0,0
"30","Urophycis chuss",0,0
"31","Urophycis tenuis",0,0
"32","Zoarces americanus",0,1
"33","Alosa pseudoharengus",0,0
"34","Amblyraja radiata",0,1.988636364
"35","Argentina silus",0,2.982954545
"36","Benthosema glaciale",0,0
"37","Centroscyllium fabricii",0,0
"38","Citharichthys arctifrons",0,0
"39","Clupea harengus",0,0
"40","Enchelyopus cimbrius",0,0
"41","Glyptocephalus cynoglossus",0,0
"42","Helicolenus dactylopterus",0,6.960227273
"43","Hippoglossoides platessoides",0,0
"44","Hippoglossus hippoglossus",0,0
"45","Leptoclinus maculatus",0,0
"46","Leucoraja erinacea",0,0
"47","Lophius americanus",0,0
"48","Lumpenus lampretaeformis",0,0
"49","Melanogrammus aeglefinus",0,3.977272727
"50","Merluccius albidus",0,0
"51","Merluccius bilinearis",1466,0
"52","Myoxocephalus octodecemspinosus",0,0
"53","Notoscopelus elongatus",0,0
"54","Phycis chesteri",0,0
"55","Pollachius virens",0,7.954545455
"56","Pseudopleuronectes americanus",0,0
"57","Scomber scombrus",0,4.971590909
"58","Sebastes g.",0,0.994318182
"59","Squalus acanthias",0,0
"60","Tautogolabrus adspersus",0,0
"61","Triglops murrayi",0,0
"62","Urophycis chuss",0,0
"63","Urophycis tenuis",0,0
"64","Zoarces americanus",0,0
"65","Alosa pseudoharengus",0,0
"66","Amblyraja radiata",0,0
"67","Argentina silus",0,2
"68","Benthosema glaciale",0,0
"69","Centroscyllium fabricii",0,0
"70","Citharichthys arctifrons",0,0
"71","Clupea harengus",0,5
"72","Enchelyopus cimbrius",0,0
"73","Glyptocephalus cynoglossus",0,0
"74","Helicolenus dactylopterus",0,0
"75","Hippoglossoides platessoides",0,0
"76","Hippoglossus hippoglossus",0,4
"77","Leptoclinus maculatus",0,0
"78","Leucoraja erinacea",0,17
"79","Lophius americanus",0,0
"80","Lumpenus lampretaeformis",0,0
"81","Melanogrammus aeglefinus",3249,353
"82","Merluccius albidus",0,0
"83","Merluccius bilinearis",0,83
"84","Myoxocephalus octodecemspinosus",8754,46
"85","Notoscopelus elongatus",0,0
"86","Phycis chesteri",0,0
"87","Pollachius virens",0,1
"88","Pseudopleuronectes americanus",0,9
"89","Scomber scombrus",0,0
"90","Sebastes g.",0,0
"91","Squalus acanthias",0,0
"92","Tautogolabrus adspersus",0,0
"93","Triglops murrayi",0,0
"94","Urophycis chuss",9803,17
"95","Urophycis tenuis",0,0
"96","Zoarces americanus",0,1
"97","Alosa pseudoharengus",0,0
"98","Amblyraja radiata",0,0
"99","Argentina silus",0,0
"100","Benthosema glaciale",0,0
"101","Centroscyllium fabricii",0,0
"102","Citharichthys arctifrons",0,0
"103","Clupea harengus",8886,261.4942529
"104","Enchelyopus cimbrius",0,0
"105","Glyptocephalus cynoglossus",0,0
"106","Helicolenus dactylopterus",0,0
"107","Hippoglossoides platessoides",0,14.08045977
"108","Hippoglossus hippoglossus",0,1.005747126
"109","Leptoclinus maculatus",0,0
"110","Leucoraja erinacea",0,0
"111","Lophius americanus",0,0
"112","Lumpenus lampretaeformis",0,0
"113","Melanogrammus aeglefinus",3965,179.0229885
"114","Merluccius albidus",0,0
"115","Merluccius bilinearis",0,0
"116","Myoxocephalus octodecemspinosus",0,9.051724138
"117","Notoscopelus elongatus",0,0
"118","Phycis chesteri",0,0
"119","Pollachius virens",0,0
"120","Pseudopleuronectes americanus",0,0
"121","Scomber scombrus",0,0
"122","Sebastes g.",2126,0
"123","Squalus acanthias",0,0
"124","Tautogolabrus adspersus",0,0
"125","Triglops murrayi",0,0
"126","Urophycis chuss",0,0
"127","Urophycis tenuis",0,0
"128","Zoarces americanus",0,0
"129","Alosa pseudoharengus",0,0
"130","Amblyraja radiata",0,0
"131","Argentina silus",0,0
"132","Benthosema glaciale",0,0
"133","Centroscyllium fabricii",0,0
"134","Citharichthys arctifrons",0,0
"135","Clupea harengus",4436,12.92613636
"136","Enchelyopus cimbrius",0,0
"137","Glyptocephalus cynoglossus",0,0
"138","Helicolenus dactylopterus",0,0
"139","Hippoglossoides platessoides",0,10.9375
"140","Hippoglossus hippoglossus",0,0
"141","Leptoclinus maculatus",0,0
"142","Leucoraja erinacea",0,0
"143","Lophius americanus",0,0
"144","Lumpenus lampretaeformis",0,0
"145","Melanogrammus aeglefinus",0,0.994318182
"146","Merluccius albidus",0,0
"147","Merluccius bilinearis",0,0
"148","Myoxocephalus octodecemspinosus",0,0
"149","Notoscopelus elongatus",0,0
"150","Phycis chesteri",0,0
"151","Pollachius virens",0,0
"152","Pseudopleuronectes americanus",0,0
"153","Scomber scombrus",0,0
"154","Sebastes g.",0,0
"155","Squalus acanthias",0,0
"156","Tautogolabrus adspersus",0,0
"157","Triglops murrayi",0,0
"158","Urophycis chuss",0,0
"159","Urophycis tenuis",0,0
"160","Zoarces americanus",0,0
"161","Alosa pseudoharengus",0,0
"162","Amblyraja radiata",0,0
"163","Argentina silus",0,0
"164","Benthosema glaciale",0,0
"165","Centroscyllium fabricii",0,0
"166","Citharichthys arctifrons",0,0
"167","Clupea harengus",0,5
"168","Enchelyopus cimbrius",0,3
"169","Glyptocephalus cynoglossus",5056,8
"170","Helicolenus dactylopterus",0,0
"171","Hippoglossoides platessoides",0,0
"172","Hippoglossus hippoglossus",0,0
"173","Leptoclinus maculatus",0,0
"174","Leucoraja erinacea",0,0
"175","Lophius americanus",0,0
"176","Lumpenus lampretaeformis",0,0
"177","Melanogrammus aeglefinus",0,0
"178","Merluccius albidus",0,0
"179","Merluccius bilinearis",7147,56
"180","Myoxocephalus octodecemspinosus",0,0
"181","Notoscopelus elongatus",0,0
"182","Phycis chesteri",0,0
"183","Pollachius virens",0,0
"184","Pseudopleuronectes americanus",0,0
"185","Scomber scombrus",0,0
"186","Sebastes g.",0,0
"187","Squalus acanthias",0,0
"188","Tautogolabrus adspersus",0,0
"189","Triglops murrayi",0,0
"190","Urophycis chuss",0,0
"191","Urophycis tenuis",0,3
"192","Zoarces americanus",0,0
"193","Alosa pseudoharengus",0,0
"194","Amblyraja radiata",0,0
"195","Argentina silus",0,0
"196","Benthosema glaciale",0,0
"197","Centroscyllium fabricii",0,0
"198","Citharichthys arctifrons",0,0
"199","Clupea harengus",0,13.15028902
"200","Enchelyopus cimbrius",22531,1.011560694
"201","Glyptocephalus cynoglossus",0,3.034682081
"202","Helicolenus dactylopterus",0,0
"203","Hippoglossoides platessoides",0,21.24277457
"204","Hippoglossus hippoglossus",0,0
"205","Leptoclinus maculatus",0,0
"206","Leucoraja erinacea",0,0
"207","Lophius americanus",0,0
"208","Lumpenus lampretaeformis",14952,3.034682081
"209","Melanogrammus aeglefinus",0,0
"210","Merluccius albidus",0,0
"211","Merluccius bilinearis",0,2.023121387
"212","Myoxocephalus octodecemspinosus",0,0
"213","Notoscopelus elongatus",0,0
"214","Phycis chesteri",0,0
"215","Pollachius virens",0,0
"216","Pseudopleuronectes americanus",0,0
"217","Scomber scombrus",11756,0
"218","Sebastes g.",0,16.1849711
"219","Squalus acanthias",0,0
"220","Tautogolabrus adspersus",0,0
"221","Triglops murrayi",0,0
"222","Urophycis chuss",0,0
"223","Urophycis tenuis",0,0
"224","Zoarces americanus",0,0
"225","Alosa pseudoharengus",0,0
"226","Amblyraja radiata",0,0
"227","Argentina silus",0,0
"228","Benthosema glaciale",0,0
"229","Centroscyllium fabricii",0,0
"230","Citharichthys arctifrons",0,0
"231","Clupea harengus",0,0
"232","Enchelyopus cimbrius",0,0
"233","Glyptocephalus cynoglossus",0,0
"234","Helicolenus dactylopterus",0,0
"235","Hippoglossoides platessoides",0,185.1744186
"236","Hippoglossus hippoglossus",0,0
"237","Leptoclinus maculatus",0,7.122093023
"238","Leucoraja erinacea",0,0
"239","Lophius americanus",0,0
"240","Lumpenus lampretaeformis",0,0
"241","Melanogrammus aeglefinus",0,0
"242","Merluccius albidus",0,0
"243","Merluccius bilinearis",0,0
"244","Myoxocephalus octodecemspinosus",0,1.01744186
"245","Notoscopelus elongatus",0,0
"246","Phycis chesteri",0,0
"247","Pollachius virens",0,0
"248","Pseudopleuronectes americanus",0,0
"249","Scomber scombrus",0,0
"250","Sebastes g.",0,0
"251","Squalus acanthias",0,0
"252","Tautogolabrus adspersus",0,0
"253","Triglops murrayi",0,19.33139535
"254","Urophycis chuss",0,0
"255","Urophycis tenuis",0,0
"256","Zoarces americanus",0,0
"257","Alosa pseudoharengus",0,0
"258","Amblyraja radiata",0,0
"259","Argentina silus",0,0
"260","Benthosema glaciale",0,0
"261","Centroscyllium fabricii",0,0
"262","Citharichthys arctifrons",0,0
"263","Clupea harengus",608,25.85227273
"264","Enchelyopus cimbrius",0,0
"265","Glyptocephalus cynoglossus",12224,0
"266","Helicolenus dactylopterus",0,0
"267","Hippoglossoides platessoides",7637,118.3238636
"268","Hippoglossus hippoglossus",0,0.994318182
"269","Leptoclinus maculatus",0,31.81818182
"270","Leucoraja erinacea",0,0
"271","Lophius americanus",0,0
"272","Lumpenus lampretaeformis",35255,8.948863636
"273","Melanogrammus aeglefinus",0,0
"274","Merluccius albidus",0,0
"275","Merluccius bilinearis",0,0
"276","Myoxocephalus octodecemspinosus",0,0.994318182
"277","Notoscopelus elongatus",0,0
"278","Phycis chesteri",0,0
"279","Pollachius virens",0,0
"280","Pseudopleuronectes americanus",0,0
"281","Scomber scombrus",0,0
"282","Sebastes g.",26605,2.982954545
"283","Squalus acanthias",0,0
"284","Tautogolabrus adspersus",0,0
"285","Triglops murrayi",0,0.994318182
"286","Urophycis chuss",0,0
"287","Urophycis tenuis",0,0
"288","Zoarces americanus",0,0
"289","Alosa pseudoharengus",0,0
"290","Amblyraja radiata",0,0
"291","Argentina silus",0,0
"292","Benthosema glaciale",0,0
"293","Centroscyllium fabricii",0,0
"294","Citharichthys arctifrons",0,0
"295","Clupea harengus",0,1.988636364
"296","Enchelyopus cimbrius",0,0
"297","Glyptocephalus cynoglossus",0,0
"298","Helicolenus dactylopterus",0,0
"299","Hippoglossoides platessoides",8357,261.5056818
"300","Hippoglossus hippoglossus",0,0
"301","Leptoclinus maculatus",12366,5.965909091
"302","Leucoraja erinacea",0,0
"303","Lophius americanus",0,0
"304","Lumpenus lampretaeformis",7454,10.9375
"305","Melanogrammus aeglefinus",0,0
"306","Merluccius albidus",0,0
"307","Merluccius bilinearis",0,0.994318182
"308","Myoxocephalus octodecemspinosus",0,0
"309","Notoscopelus elongatus",0,0
"310","Phycis chesteri",0,0
"311","Pollachius virens",0,0
"312","Pseudopleuronectes americanus",0,0
"313","Scomber scombrus",0,0
"314","Sebastes g.",0,0
"315","Squalus acanthias",0,0
"316","Tautogolabrus adspersus",0,0
"317","Triglops murrayi",0,0
"318","Urophycis chuss",0,0
"319","Urophycis tenuis",0,0
"320","Zoarces americanus",0,0
"321","Alosa pseudoharengus",0,0
"322","Amblyraja radiata",0,0
"323","Argentina silus",0,0
"324","Benthosema glaciale",4744,0
"325","Centroscyllium fabricii",790,11.06321839
"326","Citharichthys arctifrons",0,0
"327","Clupea harengus",0,0
"328","Enchelyopus cimbrius",0,0
"329","Glyptocephalus cynoglossus",959,3.017241379
"330","Helicolenus dactylopterus",0,0
"331","Hippoglossoides platessoides",0,0
"332","Hippoglossus hippoglossus",0,0
"333","Leptoclinus maculatus",0,0
"334","Leucoraja erinacea",0,0
"335","Lophius americanus",0,0
"336","Lumpenus lampretaeformis",0,0
"337","Melanogrammus aeglefinus",0,0
"338","Merluccius albidus",0,0
"339","Merluccius bilinearis",34,3.017241379
"340","Myoxocephalus octodecemspinosus",0,0
"341","Notoscopelus elongatus",0,2.011494253
"342","Phycis chesteri",2634,2.011494253
"343","Pollachius virens",0,4.022988506
"344","Pseudopleuronectes americanus",0,0
"345","Scomber scombrus",0,0
"346","Sebastes g.",35437,4030.028736
"347","Squalus acanthias",0,0
"348","Tautogolabrus adspersus",0,0
"349","Triglops murrayi",0,0
"350","Urophycis chuss",0,0
"351","Urophycis tenuis",0,4.022988506
"352","Zoarces americanus",0,0
"353","Alosa pseudoharengus",0,0
"354","Amblyraja radiata",0,3.070175439
"355","Argentina silus",0,0
"356","Benthosema glaciale",0,0
"357","Centroscyllium fabricii",0,0
"358","Citharichthys arctifrons",0,0
"359","Clupea harengus",0,177.0467836
"360","Enchelyopus cimbrius",14422,1.023391813
"361","Glyptocephalus cynoglossus",11061,7.16374269
"362","Helicolenus dactylopterus",0,0
"363","Hippoglossoides platessoides",0,14.32748538
"364","Hippoglossus hippoglossus",0,1.023391813
"365","Leptoclinus maculatus",0,0
"366","Leucoraja erinacea",0,0
"367","Lophius americanus",0,0
"368","Lumpenus lampretaeformis",0,0
"369","Melanogrammus aeglefinus",0,0
"370","Merluccius albidus",0,0
"371","Merluccius bilinearis",12982,2.046783626
"372","Myoxocephalus octodecemspinosus",0,0
"373","Notoscopelus elongatus",0,0
"374","Phycis chesteri",0,0
"375","Pollachius virens",0,0
"376","Pseudopleuronectes americanus",16047,0
"377","Scomber scombrus",49373,12.28070175
"378","Sebastes g.",24573,228.2163743
"379","Squalus acanthias",0,0
"380","Tautogolabrus adspersus",0,0
"381","Triglops murrayi",0,0
"382","Urophycis chuss",0,0
"383","Urophycis tenuis",0,12.28070175
"384","Zoarces americanus",0,0
"385","Alosa pseudoharengus",0,0
"386","Amblyraja radiata",0,0.994318182
"387","Argentina silus",0,0
"388","Benthosema glaciale",25323,0
"389","Centroscyllium fabricii",0,0
"390","Citharichthys arctifrons",0,0
"391","Clupea harengus",0,0
"392","Enchelyopus cimbrius",860,0
"393","Glyptocephalus cynoglossus",0,16.90340909
"394","Helicolenus dactylopterus",0,0
"395","Hippoglossoides platessoides",0,0.994318182
"396","Hippoglossus hippoglossus",0,0
"397","Leptoclinus maculatus",0,0
"398","Leucoraja erinacea",0,0
"399","Lophius americanus",3651,0
"400","Lumpenus lampretaeformis",0,0
"401","Melanogrammus aeglefinus",0,0
"402","Merluccius albidus",0,0
"403","Merluccius bilinearis",0,0
"404","Myoxocephalus octodecemspinosus",0,0
"405","Notoscopelus elongatus",0,0
"406","Phycis chesteri",0,0.994318182
"407","Pollachius virens",0,0
"408","Pseudopleuronectes americanus",0,0
"409","Scomber scombrus",0,0
"410","Sebastes g.",607965,103.4090909
"411","Squalus acanthias",0,0
"412","Tautogolabrus adspersus",0,0
"413","Triglops murrayi",0,0
"414","Urophycis chuss",0,0
"415","Urophycis tenuis",0,0
"416","Zoarces americanus",0,0
"417","Alosa pseudoharengus",0,0
"418","Amblyraja radiata",0,0
"419","Argentina silus",0,0
"420","Benthosema glaciale",0,0
"421","Centroscyllium fabricii",0,0
"422","Citharichthys arctifrons",0,0
"423","Clupea harengus",0,14.08045977
"424","Enchelyopus cimbrius",0,2.011494253
"425","Glyptocephalus cynoglossus",20313,375.1436782
"426","Helicolenus dactylopterus",0,0
"427","Hippoglossoides platessoides",25508,87.5
"428","Hippoglossus hippoglossus",8143,1.005747126
"429","Leptoclinus maculatus",0,0
"430","Leucoraja erinacea",0,0
"431","Lophius americanus",0,0
"432","Lumpenus lampretaeformis",0,0
"433","Melanogrammus aeglefinus",0,0
"434","Merluccius albidus",0,0
"435","Merluccius bilinearis",0,12.06896552
"436","Myoxocephalus octodecemspinosus",0,0
"437","Notoscopelus elongatus",0,0
"438","Phycis chesteri",0,0
"439","Pollachius virens",0,0
"440","Pseudopleuronectes americanus",0,0
"441","Scomber scombrus",0,0
"442","Sebastes g.",6300,33.18965517
"443","Squalus acanthias",0,0
"444","Tautogolabrus adspersus",0,0
"445","Triglops murrayi",0,0
"446","Urophycis chuss",0,0
"447","Urophycis tenuis",0,4.022988506
"448","Zoarces americanus",0,0
"449","Alosa pseudoharengus",0,0
"450","Amblyraja radiata",0,0
"451","Argentina silus",0,0
"452","Benthosema glaciale",0,0
"453","Centroscyllium fabricii",0,0
"454","Citharichthys arctifrons",0,0
"455","Clupea harengus",0,95.57692308
"456","Enchelyopus cimbrius",0,0
"457","Glyptocephalus cynoglossus",11413,49.80769231
"458","Helicolenus dactylopterus",0,0
"459","Hippoglossoides platessoides",8737,33.65384615
"460","Hippoglossus hippoglossus",0,0
"461","Leptoclinus maculatus",0,0
"462","Leucoraja erinacea",0,0
"463","Lophius americanus",0,0
"464","Lumpenus lampretaeformis",0,0
"465","Melanogrammus aeglefinus",0,5.384615385
"466","Merluccius albidus",0,0
"467","Merluccius bilinearis",0,0
"468","Myoxocephalus octodecemspinosus",0,0
"469","Notoscopelus elongatus",0,0
"470","Phycis chesteri",0,0
"471","Pollachius virens",0,0
"472","Pseudopleuronectes americanus",0,0
"473","Scomber scombrus",0,0
"474","Sebastes g.",25737,126.5384615
"475","Squalus acanthias",0,0
"476","Tautogolabrus adspersus",0,0
"477","Triglops murrayi",0,0
"478","Urophycis chuss",0,0
"479","Urophycis tenuis",4467,0
"480","Zoarces americanus",0,0
"481","Alosa pseudoharengus",0,0
"482","Amblyraja radiata",7310,0
"483","Argentina silus",0,0
"484","Benthosema glaciale",0,0
"485","Centroscyllium fabricii",0,0
"486","Citharichthys arctifrons",0,0
"487","Clupea harengus",0,0
"488","Enchelyopus cimbrius",0,0
"489","Glyptocephalus cynoglossus",3065,1.43442623
"490","Helicolenus dactylopterus",0,0
"491","Hippoglossoides platessoides",275325,30.12295082
"492","Hippoglossus hippoglossus",0,0
"493","Leptoclinus maculatus",0,0
"494","Leucoraja erinacea",0,0
"495","Lophius americanus",0,0
"496","Lumpenus lampretaeformis",6476,0
"497","Melanogrammus aeglefinus",0,0
"498","Merluccius albidus",0,0
"499","Merluccius bilinearis",0,0
"500","Myoxocephalus octodecemspinosus",0,0
"501","Notoscopelus elongatus",0,0
"502","Phycis chesteri",0,0
"503","Pollachius virens",0,0
"504","Pseudopleuronectes americanus",0,0
"505","Scomber scombrus",0,0
"506","Sebastes g.",0,0
"507","Squalus acanthias",0,0
"508","Tautogolabrus adspersus",0,0
"509","Triglops murrayi",0,0
"510","Urophycis chuss",0,0
"511","Urophycis tenuis",0,0
"512","Zoarces americanus",0,0
"513","Alosa pseudoharengus",0,0
"514","Amblyraja radiata",2670,34.41011236
"515","Argentina silus",0,0
"516","Benthosema glaciale",0,0
"517","Centroscyllium fabricii",0,0
"518","Citharichthys arctifrons",0,0
"519","Clupea harengus",0,0
"520","Enchelyopus cimbrius",0,0
"521","Glyptocephalus cynoglossus",0,6.882022472
"522","Helicolenus dactylopterus",0,0
"523","Hippoglossoides platessoides",5596,19.66292135
"524","Hippoglossus hippoglossus",0,0
"525","Leptoclinus maculatus",0,0
"526","Leucoraja erinacea",0,0
"527","Lophius americanus",0,0
"528","Lumpenus lampretaeformis",0,0
"529","Melanogrammus aeglefinus",0,0
"530","Merluccius albidus",0,0
"531","Merluccius bilinearis",0,0.983146067
"532","Myoxocephalus octodecemspinosus",0,23.59550562
"533","Notoscopelus elongatus",0,0
"534","Phycis chesteri",0,0
"535","Pollachius virens",0,0
"536","Pseudopleuronectes americanus",0,0
"537","Scomber scombrus",0,0
"538","Sebastes g.",0,0
"539","Squalus acanthias",0,0
"540","Tautogolabrus adspersus",0,0
"541","Triglops murrayi",0,6.882022472
"542","Urophycis chuss",0,0
"543","Urophycis tenuis",0,0
"544","Zoarces americanus",0,0
"545","Alosa pseudoharengus",0,0
"546","Amblyraja radiata",0,0
"547","Argentina silus",0,0
"548","Benthosema glaciale",0,0
"549","Centroscyllium fabricii",0,0
"550","Citharichthys arctifrons",0,0
"551","Clupea harengus",0,1.206896552
"552","Enchelyopus cimbrius",0,0
"553","Glyptocephalus cynoglossus",0,0
"554","Helicolenus dactylopterus",0,0
"555","Hippoglossoides platessoides",0,0
"556","Hippoglossus hippoglossus",0,0
"557","Leptoclinus maculatus",0,0
"558","Leucoraja erinacea",0,0
"559","Lophius americanus",0,0
"560","Lumpenus lampretaeformis",0,0
"561","Melanogrammus aeglefinus",3797,100.1724138
"562","Merluccius albidus",0,0
"563","Merluccius bilinearis",3,13.27586207
"564","Myoxocephalus octodecemspinosus",0,0
"565","Notoscopelus elongatus",0,0
"566","Phycis chesteri",0,0
"567","Pollachius virens",0,76.03448276
"568","Pseudopleuronectes americanus",0,0
"569","Scomber scombrus",0,0
"570","Sebastes g.",4578,2558.62069
"571","Squalus acanthias",0,12.06896552
"572","Tautogolabrus adspersus",0,0
"573","Triglops murrayi",0,0
"574","Urophycis chuss",0,0
"575","Urophycis tenuis",0,0
"576","Zoarces americanus",0,0
"577","Alosa pseudoharengus",0,0
"578","Amblyraja radiata",0,1
"579","Argentina silus",0,0
"580","Benthosema glaciale",0,0
"581","Centroscyllium fabricii",0,0
"582","Citharichthys arctifrons",0,0
"583","Clupea harengus",0,8
"584","Enchelyopus cimbrius",0,0
"585","Glyptocephalus cynoglossus",11152,55
"586","Helicolenus dactylopterus",0,0
"587","Hippoglossoides platessoides",0,13
"588","Hippoglossus hippoglossus",0,2
