"","Actiniaria","Actiniidae","Actinostola","Alosa pseudoharengus","Alosa sapidissima","Amblyraja radiata","Ammodytes dubius","Anarhichas lupus","Annelida","Anonyx","Anthozoa","Aphrodita hastata","Arctozenus risso","Argentina silus","Argis dentata","Artediellus atlanticus","Ascidia","Aspidophoroides monopterygius","Asterias forbesi","Asterias rubens","Asteroidea","Astropecten americanus","Atlantopandalus propinqvus","Axius serratus","Benthosema glaciale","Bivalvia","Bolocera","Boltenia","Brachiopoda","Brisaster fragilis","Buccinum undatum","Cancer borealis","Cancer irroratus","Centroscyllium fabricii","Ceramaster granularis","Chionoecetes opilio","Chirona hameri","Chlamys islandica","Chlorophthalmus agassizi","Citharichthys arctifrons","Clupea harengus","Clypeasteroida","Colus","Crangon septemspinosa","Crinoidea","Crossaster papposus","Ctenodiscus crispatus","Ctenophora","Cucumaria frondosa","Cyanea capillata","Decapoda","Dichelopandalus leptocerus","Dipturus laevis","Enchelyopus cimbrius","Epizoanthus","Eualus fabricii","Eualus gaimardii","Euphausiacea","Euspira heros","Flustra foliacea","Gadus morhua","Gaidropsarus ensis","Gersemia rubiformis","Glyptocephalus cynoglossus","Gorgonocephalidae","Haliclona oculata","Helicolenus dactylopterus","Hemitripterus americanus","Henricia","Hippasteria phrygiana","Hippoglossina oblonga","Hippoglossoides platessoides","Hippoglossus hippoglossus","Homarus americanus","Hormathia","Hyas","Hyas araneus","Hyas coarctatus","Hydrozoa","Illex illecebrosus","Lebbeus polaris","Leptagonus decagonus","Leptasterias","Leptasterias polaris","Leptoclinus maculatus","Leucoraja","Leucoraja erinacea","Leucoraja ocellata","Limanda ferruginea","Liparis gibbus","Lithodes maja","Loligo pealeii","Lophaster furcifer","Lophius americanus","Lumpenus lampretaeformis","Lycenchelys verrillii","Lycodes lavalaei","Lycodes vahlii","Lycodichthys dearborni","Malacoraja senta","Mallotus villosus","Maurolicus muelleri","Meganyctiphanes norvegica","Melanogrammus aeglefinus","Merluccius albidus","Merluccius bilinearis","Modiolus modiolus","Munida valida","Munidopsis curvirostra","Myctophidae","Myoxocephalus aenaeus","Myoxocephalus octodecemspinosus","Mytilidae","Mytilus edulis","Myxine glutinosa","Naticidae","Nemichthys scolopaceus","Nephtheidae","Neptunea decemcostata","Nezumia","Nezumia bairdii","Notoscopelus elongatus","Nudibranchia","Nymphon","Octopoda","Ophiacantha abyssicola","Ophiacantha bidentata","Ophiopholis aculeata","Ophiura sarsi","Ophiuroidea","Paguridae","Pagurus acadianus","Pandalus borealis","Pandalus montagui","Paraliparis calidus","Paraliparis copei","Pasiphaea multidentata","Pennatula aculeata","Pennatulacea","Pentanemus quinquarius","Peprilus triacanthus","Phycis chesteri","Placopecten magellanicus","Pollachius virens","Polychaeta","Polymastia","Polymastia andrica","Pontaster","Pontophilus norvegicus","Porania pulvillus","Poraniomorpha hispida","Porifera","Pseudarchaster parelii","Pseudopleuronectes americanus","Psilaster andromeda","Psolus phantapus","Pteraster pulvillus","Pycnogonida","Pycnogonum litorale","Reinhardtius hippoglossoides","Sclerasterias tanneri","Sclerocrangon boreas","Scomber scombrus","Scophthalmus aquosus","Scyphozoa","Sebastes","Sepiolina","Sipuncula","Solaster","Solaster endeca","Spirontocaris lilljeborgii","Spirontocaris spinus","Spisula solidissima","Squalus acanthias","Stomias boa","Stomphia coccinea","Strongylocentrotus","Strongylocentrotus droebachiensis","Suberites ficus","Symphurus","Tautogolabrus adspersus","Terebratulina","Triglops murrayi","Tunicata","Ulvaria subbifurcata","Urophycis chuss","Urophycis tenuis","Vazella pourtalesii","Zoarces americanus"
"EDNA20-478618",NA,NA,0.155,0.1475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2425,NA,NA,NA,NA,NA,NA,NA,NA,0.2875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27125,NA,NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,0.43,NA,NA,NA,NA,0.0175,NA,NA,0.105,NA,NA,NA,NA,NA,NA,NA,1.88625,0.00625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31375,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.05,NA,15.925,NA,NA,NA,NA,NA,0.14125,NA,NA,NA,NA,NA,0.005,NA,NA,NA,NA,NA,NA,0.0475,NA,NA,NA,NA,NA,NA,NA,NA,0.00375,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0225,16.1,0.00375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.505,7.4125,NA,NA
"EDNA20-478631",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557083333333333,NA,NA,NA,NA,NA,NA,NA,0.0106944444444444,NA,NA,NA,NA,NA,NA,NA,0.00291666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44166666666667,NA,NA,NA,NA,NA,4.53833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.7458333333333,NA,1.55944444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0894444444444445,NA,0.565833333333333,NA,NA,NA,0.0126388888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29305555555556,NA,NA,NA
"EDNA20-478635",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0216176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.171911764705882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0133823529411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.984117647058824,NA,NA,NA,NA,NA,1.20338235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9632352941176,NA,0.776176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000102941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170882352941176,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478639",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0503125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89796875,NA,NA,NA,NA,NA,NA,NA,0.319375,0.18046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975625,NA,NA,NA,NA,NA,NA,NA,NA,0.01421875,NA,NA,0.39046875,NA,NA,NA,1.3890625,0.00328125,NA,NA,0.0175,9.296875,NA,NA,NA,NA,NA,NA,2.5375,NA,NA,NA,NA,NA,NA,0.844375,2.253125,1.990625,NA,NA,NA,NA,0.22859375,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.21875,NA,0.643125,NA,NA,NA,NA,NA,2.3953125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8071875,0.0065625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04921875,NA,NA,NA
"EDNA20-478655",0.00291666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44305555555556,NA,NA,NA,NA,NA,0.00875,NA,NA,NA,NA,NA,NA,0.0233333333333333,NA,NA,NA,NA,0.135138888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0243055555555556,NA,NA,NA,NA,NA,NA,NA,NA,0.178888888888889,NA,NA,55.9805555555556,NA,NA,NA,NA,NA,NA,5.96944444444444,0.259583333333333,NA,NA,NA,NA,3.75083333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4361111111111,0.810833333333333,3.86944444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.806944444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0894444444444445,NA,NA,NA,1.48555555555556,NA,NA,NA,NA,NA,0.0272222222222222,NA,0.0301388888888889,NA,NA,NA,NA,NA,NA,NA,NA,0.0116666666666667,NA,NA,NA,NA,74.1027777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.35277777777778,NA,NA
"EDNA20-478672",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000972222222222222,NA,NA,NA,NA,NA,NA,0.145833333333333,NA,NA,NA,NA,NA,NA,NA,NA,0.165277777777778,NA,NA,NA,0.00194444444444444,NA,NA,0.0136111111111111,NA,NA,NA,0.0379166666666667,NA,NA,0.00486111111111111,NA,NA,0.00388888888888889,NA,NA,NA,0.0525,NA,0.00388888888888889,NA,NA,NA,NA,0.000972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.162361111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00375,NA,NA,NA,NA,NA,NA,NA,0.00291666666666667,NA,4.50138888888889,0.739861111111111,2.19722222222222,NA,NA,NA,NA,NA,NA,NA,NA,0.04375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0913888888888889,NA,NA,NA,NA,NA,NA,NA,0.00194444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000972222222222222,NA,NA,NA,0.00194444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.78333333333333,0.00972222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.41111111111111,NA,NA,NA
"EDNA20-478677",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82205882352941,NA,NA,NA,NA,NA,NA,NA,0.0267647058823529,4.18970588235294,NA,NA,NA,NA,NA,NA,0.00617647058823529,NA,0.0514705882352941,NA,0.125588235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0751470588235294,NA,NA,NA,NA,0.0144117647058824,NA,NA,0.184264705882353,NA,NA,NA,NA,NA,NA,NA,4.77544117647059,0.0113235294117647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.260441176470588,NA,NA,NA,NA,NA,NA,NA,NA,0.00514705882352941,0.498235294117647,NA,27.3,NA,NA,NA,NA,NA,0.144117647058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0545588235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0205882352941177,NA,NA,NA,NA,NA,6.38235294117647,NA,NA,0.00102941176470588,NA,NA,NA,NA,0.0236764705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627941176470588,NA,NA,2.64558823529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00617647058823529,NA,0.957352941176471,3.78823529411765,NA,0.0844117647058824
"EDNA20-478685",NA,NA,NA,NA,NA,NA,NA,NA,0.000972222222222222,NA,NA,NA,NA,NA,NA,NA,0.0145833333333333,NA,NA,0.0165277777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3675,NA,NA,NA,NA,NA,NA,NA,0.0330555555555556,7.50555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.16666666666667,NA,NA,NA,NA,0.00194444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77569444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.82194444444444,NA,7.72916666666667,NA,NA,NA,NA,NA,0.119583333333333,NA,NA,0.0875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00875,NA,NA,NA,NA,NA,NA,NA,0.000972222222222222,NA,NA,NA,NA,NA,0.193472222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0252777777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.225,1.37861111111111,0.0213888888888889,NA
"EDNA20-478689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.265,NA,NA,NA,0.049,NA,NA,NA,24.73,NA,NA,NA,NA,NA,NA,NA,1.304,NA,NA,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.569,0.018,NA,NA,NA,23.81,NA,NA,NA,NA,NA,NA,9.11,NA,NA,NA,0.002,NA,NA,NA,NA,NA,NA,NA,NA,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.975,NA,0.552,NA,NA,NA,NA,NA,0.128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013,NA,NA,0.088,NA,NA,NA,NA,0.006,NA,NA,NA,NA,NA,NA,NA,1.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3852941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34029411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07058823529412,NA,NA,0.0401470588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108088235294118,NA,NA,6.15588235294118,NA,NA,NA,NA,NA,NA,0.633088235294118,NA,NA,NA,NA,NA,NA,NA,NA,2.87411764705882,NA,NA,NA,NA,0.473529411764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3264705882353,NA,1.81176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0730882352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0216176470588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.211029411764706,0.432352941176471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754558823529412,0.254264705882353,NA,NA
"EDNA20-478732",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.245,0.77765625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004375,NA,NA,NA,NA,1.09265625,NA,NA,0.89578125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2228125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.264375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,NA,NA,60.090625,NA,0.25265625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56765625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478745",0.00212121212121212,NA,NA,NA,NA,NA,0.862272727272727,NA,NA,NA,NA,0.230151515151515,NA,NA,0.0922727272727273,NA,NA,NA,NA,2.94848484848485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270454545454546,0.133636363636364,1.11681818181818,NA,NA,5.73787878787879,NA,NA,NA,NA,0.932272727272727,0.508030303030303,NA,0.00424242424242424,NA,0.202575757575758,NA,0.0137878787878788,23.1954545454545,NA,NA,0.0254545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361666666666667,NA,NA,NA,NA,NA,NA,NA,0.299090909090909,NA,NA,NA,0.00106060606060606,NA,NA,NA,0.678787878787879,NA,NA,NA,NA,NA,NA,NA,NA,0.101818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.982121212121212,NA,NA,NA,NA,NA,1.13060606060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00106060606060606,NA,0.199393939393939,NA,NA,0.00848484848484849,NA,NA,NA,0.00212121212121212,0.00106060606060606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40757575757576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0753030303030303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00954545454545455,NA,NA,NA,NA,NA,NA
"EDNA20-478748",0.0035,NA,NA,NA,NA,NA,0.645166666666667,NA,NA,NA,NA,0.00116666666666667,NA,NA,0.00466666666666667,NA,NA,NA,NA,1.6135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1925,0.263666666666667,0.177333333333333,NA,NA,17.3366666666667,NA,NA,NA,NA,9.99833333333333,0.42,NA,NA,NA,NA,NA,0.00466666666666667,NA,NA,NA,0.124833333333333,NA,NA,NA,NA,NA,0.00116666666666667,NA,NA,NA,NA,NA,0.243833333333333,NA,NA,NA,NA,NA,0.0688333333333333,NA,NA,7.12833333333333,NA,NA,NA,NA,NA,NA,1.02316666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.305,NA,NA,NA,NA,NA,0.333666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1015,NA,NA,NA,NA,NA,0.00466666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00583333333333333,0.0676666666666667,NA,NA,NA,0.621833333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.232166666666667,NA,NA
"EDNA20-478752",0.004375,NA,NA,NA,NA,NA,6.59640625,NA,NA,NA,NA,NA,NA,NA,0.00765625,NA,NA,NA,NA,0.00546875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2421875,NA,NA,NA,0.60375,NA,NA,NA,NA,54.5234375,NA,NA,NA,NA,0.35328125,NA,NA,0.4703125,NA,NA,0.0065625,NA,NA,NA,NA,NA,NA,NA,NA,0.1684375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19140625,NA,NA,NA,NA,NA,NA,NA,5.2609375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24609375,NA,2.2203125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00109375,NA,NA,NA,NA,0.00109375,NA,NA,NA,NA,0.07546875,NA,NA,NA,NA,NA,NA,NA,NA,0.0721875,NA,NA,0.00109375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08203125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDNA20-478847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0457848837209302,NA,NA,0.0356104651162791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0508720930232558,NA,NA,NA,NA,NA,NA,0.0274709302325581,NA,0.00101744186046512,NA,NA,NA,NA,NA,NA,NA,0.0936046511627907,NA,0.0366279069767442,4.04941860465116,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0061046511627907,0.468023255813954,NA,NA,NA,NA,0.0936046511627907,NA,1.50581395348837,NA,NA,8.87209302325581,NA,NA,NA,NA,0.0254360465116279,9.07558139534884,NA,NA,0.00305232558139535,NA,NA,1.07848837209302,0.427325581395349,NA,0.620639534883721,NA,NA,NA,NA,6.53197674418605,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10901162790698,NA,1.46511627906977,NA,NA,NA,NA,NA,0.0101744186046512,0.0478197674418605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0183139534883721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473110465116279,NA,3.21511627906977,NA,NA,0.00203488372093023,NA,0.00101744186046512,NA,NA,NA,NA,NA,NA,0.0162790697674419,0.00203488372093023,NA,NA,0.00508720930232558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48546511627907,NA,NA,NA
"EDNA20-478851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9662921348315,NA,NA,0.00196629213483146,NA,NA,74.8174157303371,NA,NA,NA,NA,NA,0.755056179775281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.60449438202247,NA,0.0186797752808989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0294943820224719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477808988764045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
