Taxa,EDNA20-474103,EDNA20-478993,EDNA20-478981,EDNA20-474014,EDNA20-474091,EDNA20-474086,EDNA20-478907,EDNA20-478851,EDNA20-478949,EDNA20-478941,EDNA20-478929,EDNA20-478985,EDNA20-478895,EDNA20-474043,EDNA20-478959,EDNA20-478954,EDNA20-478847,EDNA20-474099,EDNA20-478969,EDNA20-474198,EDNA20-474143,EDNA20-478989,EDNA20-474107,EDNA20-474079,EDNA20-474179,EDNA20-478997,EDNA20-478973,EDNA20-478977,EDNA20-474254,EDNA20-474001,EDNA20-478887,EDNA20-478655,EDNA20-478672,EDNA20-478685,EDNA20-478631,EDNA20-478618,EDNA20-478748,EDNA20-478752,EDNA20-474207,EDNA20-478677,EDNA20-478964,EDNA20-474237,EDNA20-478933,EDNA20-478745,EDNA20-478639,EDNA20-478689,EDNA20-478635,EDNA20-478706,EDNA20-474005,EDNA20-478867,EDNA20-474217,EDNA20-474148,EDNA20-474160,EDNA20-474175,EDNA20-478732
Alosa pseudoharengus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067768595,0,0,0,0.001963393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amblyraja radiata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008854521,0,0,0,0,0,0,0,0,0.041810401,0,0,0,0,0,0,0,0,0,0.050197406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073284199,0,0,0.03293131,0.002765821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002498767,0,0,0,0,0,0,0,0,0,0,0
Ammodytes personatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031085681,0,0,0,0,0,0,0,0.007819855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ammodytes sp,0,0.102375401,0.059065857,0,0,0.001311121,0,0,0,0,0,0,0,0,0,0,0.138228942,1,0,0.646090505,0,0.024940466,0.031062315,0.609610138,0,0.875302417,0,0,0.878727359,0.964368369,0,0,0,0.377396893,0.084154363,0,0,0,0.791934574,0,0,0.048709856,0,0.943850185,0.051266127,0.052237411,0,0,0,0,0.149227186,0,0.012878413,0,0
Anisarchus medius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13715792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina silus,0,0,0,0,0,0,0.008820709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052998666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benthosema glaciale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.405665588,0,0.106372483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.793159142,0,0,0,0,0,0,0,0,0,0,0,0.03919241,0,0
Brosme brosme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113932887,0,0,0,0,0,0,0,0,0.068769857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centroscyllium fabricii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017713799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cetorhinus maximus,0,0,0.006903557,0.00520073,0,0.057535092,0,0.300070771,0,0.823715415,0,0,0,0,0.063555347,0,0,0,0.176280281,0,0,0,0.066037992,0,0.062482859,0,0,0,0,0,0,0,0.234750787,0,0,0,0,0,0,0.053563567,0.09989268,0,0,0,0,0.027206707,0,0,0,0,0,0,0,0,0
Citharichthys arctifrons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372549479,0,0,0,0,0,0,0,0,0,0
Clupea harengus,0.007385004,0,0,0,0,0,0.220325983,0,0,0,0.002667953,0,0.002002861,0.593309742,0.004690432,0,0,0,0,0,0,0,0,0.390389862,0,0,0,0.01959185,0,0,0,0,0,0.516336369,0,0,0.018733697,0.003819741,0,0,0,0,0,0,0,0.057964436,0.029332639,0.002347334,0,0,0,0,0,0,0
Cryptacanthodes giganteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284091954,0,0,0,0,0,0,0,0,0,0,0,0
Dipturus batis,0,0.189121247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366606171,0,0,0,0,0,0,0.005907392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dipturus sp,0,0.001056543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enchelyopus cimbrius,0,0,0,0,0.374349943,0,0.000767018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999550198,0,0.544925139,0,0,0,0,0.576740217,0,0.023942714,0,0,0,0,0,0,0,0,0,0,0,0.112270158,0.001331022,0,0
Gadus sp,0,0,0,0,0,0,0,0,0,0,0,0,0.571101574,0,0.003752345,0.00118691,0.000568376,0,0,0,0,0,0,0,0.125159313,0.005698417,0.237382708,0.219776945,0,0,0,0,0.001231549,0,0,0.016528926,0,0.340810273,0.015078022,0,0,0.085502479,0,0,0,0.094449191,0,0,0,0,0.495998306,0,0,0,0
Glyptocephalus cynoglossus,0.14847745,0,0,0,0,0.389942928,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0037126,0.021503206,0,0,0,0.184125192,0,0,0,0,0,0,0,0,0,0.045281314,0,0.183858983,0,0,0,0,0.074412646,0,0,0,0,0,0,0,0,0,0.086105965,0,0.337066906,0
Gonostoma elongatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472661871,0,0,0,0,0,0
Helicolenus dactylopterus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539365851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011527994,0,0,0,0,0,0,0,0.004389713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hippoglossoides sp,0.092761967,0,0,0,0,0,0.009395973,0,0,0,0,0,0,0,0,0,0,0,0,0.333498069,0,0,0.227110906,0,0.140953456,0,0,0,0,0,0,0,0,0,0,0,0.0674255,0,0.105207746,0,0,0,0,0,0.001335849,0,0,0.102476347,0,0,0,0,0,0.423270941,0.004119013
Hippoglossus hippoglossus,0,0,0,0,0,0,0.017641419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476532,0,0,0,0,0,0,0.524385424,0,0,0.098564603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135122129,0.018270652
Lamna nasus,0,0.059312154,0.018660296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012281337,0,0,0,0,0,0,0,0.059029444,0.911570248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptoclinus maculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336060005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lestidiops ringens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015664543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leucoraja erinacea,0,0.648134655,0.274693855,0,0,0,0,0,0,0,0,0.368300413,0,0,0,0,0,0,0,0,0,0.008214931,0,0,0,0,0.093212351,0.21375351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032846983,0.085775554,0,0,0,0,0,0,0,0,0,0
Liparis inquilinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056724743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophius americanus,0,0,0.114350746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025177944,0.024946345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005650653,0,0
Lumpenus lampretaeformis,0.428220919,0,0,0,0.24842574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007844306,0,0,0.202570862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lycenchelys kolthoffi,0,0,0,0,0,0,0.01303931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08166453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malacoraja kreffti,0,0,0,0,0,0,0,0,0,0,0,0,0.426895565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melanogrammus aeglefinus,0,0,0.13752563,0.148220803,0,0,0,0,0,0,0,0,0,0.264739267,0,0,0,0,0,0,0,0,0,0,0,0.003861123,0.231195298,0,0,0,0,0,0,0,0.066933913,0,0,0,0,0.23006986,0,0,0,0,0.153728073,0,0,0,0,0,0.160787635,0,0,0,0.008122503
Merluccius albidus,0,0,0,0,0,0,0,0.013800425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655530359,0,0,0,0.003305785,0,0,0,0,0,0,0,0,0.001031182,0,0,0,0,0,0,0,0,0,0.011779422
Merluccius bilinearis,0,0,0.032956491,0,0,0.551210859,0.004793864,0,0,0,0,0.337625321,0,0,0,0.445260838,0.472433784,0,0,0,0.000762366,0.424707123,0,0,0,0,0.046449396,0.183918684,0,0.004402891,0,0.194903459,0.166874857,0.106266738,0.536826356,0,0.205596396,0,0,0.257730557,0,0.791375019,0.239218391,0.003856403,0,0.133523789,0,0.106275086,0.527338129,0.118814019,0.000127038,0.101060269,0,0,0.957708411
Myoxocephalus octodecemspinosus,0,0,0.104230545,0.399361314,0,0,0,0,0,0.000395257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007513271,0.03718094,0,0,0,0,0,0,0,0,0.000826446,0,0.07862977,0,0,0,0,0,0.004654055,0.081896905,0,0,0.055601347,0,0,0,0,0,0,0
Myoxocephalus scorpius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04653093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notoscopelus elongatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004917031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncorhynchus mykiss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037582252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pholis gunnellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042491912,0,0,0,0,0,0,0,0.059250733,0.162099418,0,0.00550707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240441608,0,0,0,0,0,0,0,0,0
Phycis chesteri,0,0,0,0,0,0,0,0.001769285,0,0,0,0,0,0,0,0,0,0,0,0,0.059060944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pleuronectidae f.,0,0,0,0,0,0,0.708533078,0,0,0,0,0.060652568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003223165,0.066968209,0,0,0.733299885,0,0,0,0.124920207,0,0,0
Pollachius virens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010370675,0,0,0,0,0,0,0,0,0,0,0.032504171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prionace glauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00575897,0,0,0,0,0.007578406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmo salar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004449602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber scombrus,0,0,0,0,0.195324572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020005375,0,0,0,0,0,0.052217667,0,0,0,0,0,0,0.027167016,0,0,0,0.009070442,0,0,0,0,0,0,0,0.384351305,0,0,0
Scomberesox saurus,0,0,0,0,0.181899746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055308936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sebastes,0.32315466,0,0,0,0,0,0,0.504423213,0.663612485,0,0,0,0,0.141950992,0,0,0,0,0,0,0.794587201,0,0,0,0.415213358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.070049271,0,0,0.304183908,0,0,0.12706253,0,0,0,0,0.193859835,0.191292095,0.940947502,0.104540024,0
Squalus acanthias,0,0,0.208762062,0,0,0,0,0.179936306,0.336387515,0.175889328,0.997332047,0,0,0,0.924718574,0.014186401,0.388768898,0,0.008956048,0,0,0.01336924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00118969,0.005674151,0,0.172505747,0,0,0,0,0,0,0.881185981,0,0,0,0,0
Tautogolabrus adspersus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09394853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502994012,0,0,0,0,0,0,0,0
Thunnus sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267114327,0,0,0,0,0,0,0,0,0
Triglops murrayi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003255237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Urophycis chuss,0,0,0,0.447217153,0,0,0,0,0,0,0,0.176875087,0,0,0.003283302,0,0,0,0,0,0,0.497682558,0,0,0,0,0,0.059214757,0,0,0.000449802,0.003523727,0,0,0.20201564,0,0,0,0,0,0,0,0,0,0.185448623,0,0.467673349,0,0,0,0,0,0,0,0
Urophycis tenuis,0,0,0.042850962,0,0,0,0.016682646,0,0,0,0,0.056546611,0,0,0,0,0,0,0,0,0,0,0,0,0.072065822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084678411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoarces americanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087422244,0.086335901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0