"","Taxa","EDNA20_474001","EDNA20_474005","EDNA20_474014","EDNA20_474043","EDNA20_474079","EDNA20_474086","EDNA20_474091","EDNA20_474099","EDNA20_474103","EDNA20_474107","EDNA20_474143","EDNA20_474148","EDNA20_474160","EDNA20_474175","EDNA20_474179","EDNA20_474198","EDNA20_474207","EDNA20_474217","EDNA20_474237","EDNA20_474254","EDNA20_478618","EDNA20_478631","EDNA20_478635","EDNA20_478639","EDNA20_478655","EDNA20_478672","EDNA20_478677","EDNA20_478685","EDNA20_478689","EDNA20_478706","EDNA20_478732","EDNA20_478745","EDNA20_478748","EDNA20_478752","EDNA20_478847","EDNA20_478851","EDNA20_478867","EDNA20_478887","EDNA20_478895","EDNA20_478907","EDNA20_478929","EDNA20_478933","EDNA20_478941","EDNA20_478949","EDNA20_478954","EDNA20_478959","EDNA20_478964","EDNA20_478969","EDNA20_478973","EDNA20_478977","EDNA20_478981","EDNA20_478985","EDNA20_478989","EDNA20_478993","EDNA20_478997","EDNA20_474001_2","EDNA20_474005_2","EDNA20_474014_2","EDNA20_474043_2","EDNA20_474079_2","EDNA20_474086_2","EDNA20_474091_2","EDNA20_474099_2","EDNA20_474103_2","EDNA20_474107_2","EDNA20_474143_2","EDNA20_474148_2","EDNA20_474160_2","EDNA20_474175_2","EDNA20_474179_2","EDNA20_474198_2","EDNA20_474207_2","EDNA20_474217_2","EDNA20_474237_2","EDNA20_478618_2","EDNA20_478631_2","EDNA20_478635_2","EDNA20_478639_2","EDNA20_478655_2","EDNA20_478672_2","EDNA20_478677_2","EDNA20_478685_2","EDNA20_478689_2","EDNA20_478706_2","EDNA20_478732_2","EDNA20_478745_2","EDNA20_478748_2","EDNA20_478752_2","EDNA20_478847_2","EDNA20_478851_2","EDNA20_478867_2","EDNA20_478887_2","EDNA20_478895_2","EDNA20_478907_2","EDNA20_478929_2","EDNA20_478933_2","EDNA20_478941_2","EDNA20_478949_2","EDNA20_478954_2","EDNA20_478959_2","EDNA20_478964_2","EDNA20_478969_2","EDNA20_478973_2","EDNA20_478977_2","EDNA20_478981_2","EDNA20_478985_2","EDNA20_478989_2","EDNA20_478993_2","EDNA20_478997_2"
"1","Alosa pseudoharengus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01744186,31.17816092,1.988636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Amblyraja radiata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7310,2670,0,0,4836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.988636364,0,0,0,0,0,0,0,0,0,3.070175439,0.994318182,0,0,0,34.41011236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005747126,0,0,0,0,0,0,0,0
"3","Argentina silus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32743,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.982954545,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.982954545,1.005747126,0,0,0,0,0,0,0,0
"4","Benthosema glaciale",0,0,0,0,0,0,0,0,0,0,4744,0,25323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74645,10282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Centroscyllium fabricii",0,0,0,0,0,0,0,0,0,0,790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06321839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Citharichthys arctifrons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.944444444,0,22.96875,0,0,1.029411765,2.916666667,0,0,0,0,0,0,1.01744186,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.994318182,0
"7","Clupea harengus",0,0,0,8886,4436,0,0,0,608,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,0,0,4820,4342,131,0,0,237,94,0,0,0,0,7,1149,94,0,0,0,0,20,0,0,0,1249,0,0,0,0,0,0,0,5,261.4942529,12.92613636,5,13.15028902,0,25.85227273,1.988636364,0,177.0467836,0,14.08045977,95.57692308,0,0,1.206896552,8,1.25,0,0,1.09375,0,0.972222222,19.55882353,38.88888889,133,0,0,4.242424242,57.16666667,287.65625,0,0,24.27745665,15.26162791,32.18390805,1.988636364,40,32,2.916666667,4.915730337,3.034682081,0,0,30,0.951086957,0,0,0,0,0,0
"8","Enchelyopus cimbrius",0,0,0,0,0,0,22531,0,0,0,0,14422,860,0,0,0,0,0,0,0,0,0,0,0,0,30973,14792,0,0,0,0,0,0,14193,0,0,0,11111,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.011560694,0,0,0,0,1.023391813,0,2.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.052325581,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Glyptocephalus cynoglossus",0,0,0,0,0,5056,0,0,12224,0,959,11061,0,20313,11413,3065,0,0,11152,0,0,1604,0,0,0,0,0,0,0,0,0,0,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.034682081,0,0,0,3.017241379,7.16374269,16.90340909,375.1436782,49.80769231,1.43442623,6.882022472,0,55,6.25,0,0,2.1875,0.972222222,0.972222222,1.029411765,5.833333333,0,0,0,2.121212121,3.5,0,1.01744186,0,0,7.122093023,3.017241379,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0
"10","Helicolenus dactylopterus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7976,0,2712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9543,0,0,0,0,0,0,0,0,0,0,1,6.960227273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535.6944444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3.888888889,0,35.40462428,167.0454545,18.10344828,0,0,0,0,0,0,0,0
"11","Hippoglossus hippoglossus",3103,0,0,0,0,0,0,0,0,0,0,0,0,8143,0,0,0,0,0,0,0,0,0,0,0,0,60894,0,0,0,9173,0,6634,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.005747126,0,0,0,0,0.994318182,0,0,1.023391813,0,1.005747126,0,0,0,0,2,0,0,0,1.09375,0,0,0,0,2,1.029411765,1.09375,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.912568306,0,0,0,0,0
"12","Leptoclinus maculatus",0,0,0,0,0,0,0,0,0,12366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.122093023,31.81818182,5.965909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","Leucoraja erinacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7320,0,0,0,0,0,0,0,20178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47861,13627,14603,18478,1028,17790,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09375,0,0,0,0,0,0,0,0,0,0,1.01744186,0,0,0,0,15.90909091,0,0,0,0,0,0,0,0,0,0,12.78089888,28,3.017241379,0,0.983146067
"14","Lophius americanus",0,0,0,0,0,0,0,0,0,0,0,0,3651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12809,0,6079,0,0,0,17952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.25,0,0,1.09375,0,1.944444444,1.029411765,1.944444444,0,2.058823529,0,0,0,0,3.052325581,0,0,0,2.011494253,0,2,0,0.972222222,0.983146067,0,0,0,0,0.951086957,0,0.983146067,1,0,0,0.983146067
"15","Lumpenus lampretaeformis",0,0,0,0,0,0,14952,0,35255,7454,0,0,0,0,0,6476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.034682081,0,8.948863636,10.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","Melanogrammus aeglefinus",0,0,3249,3965,0,0,0,0,0,0,0,0,0,0,0,0,0,3797,0,0,0,2371,0,13119,0,0,142139,0,0,0,4078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118710,0,7311,0,0,0,2753,31,3.977272727,353,179.0229885,0.994318182,0,0,0,0,0,0,0,0,0,5.384615385,0,0,100.1724138,119,22.5,36.94444444,49.41176471,120.3125,14.58333333,6.805555556,1.029411765,6.805555556,33,122.5,219.84375,0,0,1.09375,11.19186047,170.0842697,14.16184971,0,84.48275862,8.948863636,8,16,9.722222222,16.71348315,18.20809249,1.988636364,13.07471264,393,1385.733696,805.1912568,576.1235955,9,8.045977011,265.4829545,1405.898876
"17","Merluccius albidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,88,453549,0,0,0,0,0,5914,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.944444444,0.972222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Merluccius bilinearis",2867,1466,0,0,0,7147,0,0,0,0,34,12982,0,0,0,0,0,3,118601,0,0,19016,0,0,134850,9485,159228,992,10002,5931,480829,2369,2601,0,8312,0,4953,0,0,25,0,5203,0,0,7878,0,0,0,23850,11725,1752,16939,53147,0,0,0,0,83,0,0,56,2.023121387,0,0,0.994318182,3.017241379,2.046783626,0,12.06896552,0,0,0.983146067,13.27586207,90,138.75,30.13888889,9.264705882,7.65625,27.22222222,18.47222222,237.7941176,115.6944444,5,11.32352941,5.46875,13.78787879,519.1666667,22.96875,32.55813953,0.983146067,184.1040462,293.0232558,84.48275862,221.7329545,265,216,42.77777778,14.74719101,431.9364162,24.85795455,2.011494253,522,6.657608696,3.825136612,21.62921348,80,26.14942529,0,0
"19","Myoxocephalus octodecemspinosus",0,0,8754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6989,0,0,0,0,0,3103,0,2859,0,1935,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19091,0,5541,0,0,0,5357,0,0,46,9.051724138,0,0,0,1.01744186,0.994318182,0,0,0,0,0,0,0,23.59550562,0,4,1.25,0,0,15.3125,0,0,1.029411765,0.972222222,1,0,0,12.72727273,3.5,0,1.01744186,0,0,0,0,92.47159091,0,0,0,0,0,0,0,0,0.951086957,2.868852459,149.4382022,3,0,0,0
"20","Notoscopelus elongatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.011494253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Phycis chesteri",0,0,0,0,0,0,0,0,0,0,2634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.011494253,0,0.994318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Pollachius virens",6753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3059,0,0,0,0,0,0,0,0,22,7.954545455,1,0,0,0,0,0,0,0,4.022988506,0,0,0,0,0,0,76.03448276,0,178.75,0,0,0,1.944444444,0,3.088235294,0,0,0,0,0,0,0,0,0,24.27745665,0,0,0,18,4,6.805555556,0,17.19653179,9.943181818,31.17816092,1,0.951086957,3.825136612,0,0,0,0,0
"23","Scomber scombrus",0,0,0,0,0,0,11756,0,0,0,0,49373,0,0,0,0,0,0,0,0,0,0,0,0,0,2968,16784,0,0,0,0,5572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10272,0,0,0,0,0,0,43,4.971590909,0,0,0,0,0,0,0,0,0,12.28070175,0,0,0,0,0,0,0,0,3.888888889,0,0,0,0,3.088235294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Sebastes",0,0,0,2126,0,0,0,0,26605,0,35437,24573,607965,6300,25737,0,0,4578,0,0,0,0,0,0,0,0,43277,0,9518,0,0,0,0,0,0,2851,0,0,0,0,0,6616,0,10864,0,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0,0,0,16.1849711,0,2.982954545,0,4030.028736,228.2163743,103.4090909,33.18965517,126.5384615,0,0,2558.62069,0,108.75,0,0,18.59375,220.6944444,14.58333333,18.52941176,0,0,0,0,0,1.166666667,0,5.087209302,0,74.85549133,0,265.5172414,0,5,12,109.8611111,19.66292135,1.011560694,0.994318182,37.21264368,0,0,0,0,0,0,0,0
"25","Squalus acanthias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,0,0,0,0,0,0,6840,1017,36734,0,0,0,35139,3752,445,5507,251,3943,534,227,0,0,11098,0,1673,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06896552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.6878613,0,0,0,0,6,15.55555556,20.64606742,10.11560694,1.988636364,45.25862069,0,4.755434783,6.693989071,233.988764,1,0,67.61363636,373.5955056
"26","Tautogolabrus adspersus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994318182,0,0,0,0,0,0,0,0,0,22.95081967,0.983146067,0,0,0,0
"27","Triglops murrayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2321,0,0,0,0,0,0,0,19.33139535,0.994318182,0,0,0,0,0,0,0,6.882022472,0,0,0,0,0,0,0,0,0,0,0,0,0,1.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.898876404,0,0,0,0
"28","Urophycis chuss",0,0,9803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7156,5389,15826,2438,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,0,0,0,3775,0,8874,62279,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,6.805555556,0,2.1875,0,12.63888889,12.35294118,13.61111111,0,3.088235294,0,0,0,0,9.156976744,0,9.104046243,11.19186047,1.005747126,108.3806818,18,22,1.944444444,0,2.023121387,2.982954545,0,43,0,0,0,4,5.028735632,0,0
"29","Urophycis tenuis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,4467,0,0,0,0,0,0,0,0,0,0,0,52315,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,2278,2837,0,0,0,0,0,0,0,0,3,0,0,0,0,4.022988506,12.28070175,0,4.022988506,0,0,0,0,0,10,0,0,0,5.833333333,0,10.29411765,2.916666667,0,1.029411765,0,0,1.166666667,0,0,0,9.104046243,13.22674419,4.022988506,2.982954545,15,6,5.833333333,15.73033708,4.046242775,0,5.028735632,1,0,0,0.983146067,0,0,0,1.966292135
"30","Zoarces americanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44888,5504,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.804347826,0,1.966292135,0,0,0,0
